School|School ID|Full Address|Enrollment|Rpt Type Long|Governance|Achievement_Score_Final|Progress_Score_Final|Climate_Score_Final|Overall_Score_Final|Latitude|Longitude|SafetyIncidentRate|SafetyScore
Girard Academic Music Program|241|2136 W Ritner St, Philadelphia, PA 19145|333|Middle School|District|84.0|46.0|93.0|72|39.9221181836735|-75.1826102040816|1.051051051051051|94.0
Edwin M. Stanton School|245|901 S 17th St, Philadelphia, PA 19146|261|K8 School|District|17.0|76.0|41.0|45|39.94049825|-75.1712624166667|2.011494252873563|88.0
Albert M. Greenfield School|247|2200 Chestnut St, Philadelphia, PA 19103|622|K8 School|District|68.0|10.0|84.0|51|39.9522899|-75.1776507939139|0.28135048231511256|98.0
Chester A. Arthur School|248|2000 Catharine St, Philadelphia, PA 19146|251|K8 School|District|24.0|47.0|55.0|42|39.941927|-75.175854|1.5936254980079683|91.0
Laura W. Waring School|249|1801 Green St, Philadelphia, PA 19130|321|K8 School|District|11.0|37.0|16.0|22|39.9644892|-75.1674568|0.6230529595015576|96.0
Andrew Jackson School|251|1213 S 12th St, Philadelphia, PA 19147|566|K8 School|District|28.0|56.0|63.0|50|39.9146021|-75.167874|0.35335689045936397|98.0
Abram S. Jenks School|252|2501 S 13th St, Philadelphia, PA 19148|308|Elementary School|District|64.0|34.0|83.0|60|39.918181|-75.168764|0.0|100.0
Francis S. Key School|254|2230 S 8th St, Philadelphia, PA 19148|467|Elementary School|District|11.0|16.0|87.0|36|39.92129685|-75.1602319|0.21413276231263384|99.0
Eliza B. Kirkbride School|258|1501 S 7th St, Philadelphia, PA 19147|554|K8 School|District|43.0|86.0|82.0|70|39.9300783571429|-75.1567022142857|0.2256317689530686|99.0
George W. Nebinger School|259|601 Carpenter St, Philadelphia, PA 19147|365|K8 School|District|20.0|35.0|49.0|35|39.9368374|-75.1539382080105|0.821917808219178|95.0
Academy at Palumbo|262|1100 Catharine St, Philadelphia, PA 19147|903|High School|District|58.0|61.0|83.0|67|39.940224|-75.162107|0.5537098560354374|97.0
