,School_ID,School_Code,School Name_x,Cohort,Subgroup,Students,Grads,Rate,Governance,Unnamed: 8,Unnamed: 9,Unnamed: 10,Test Name,Subject,School Name_y,Learning Network,Grade,Category,"Number
Tested",Below Basic Count #,Below Basic Percent %,Basic Count #,Basic Percent %,Proficient Count #,Proficient Basic Percent %,Advanced Count #,Advanced Percent %,Prof and Adv Count #,Prof and Adv. Percent %,Average Score,Average Score2
22,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,Not IEP,164,104,63%,District,,,,PSSA,Science,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,1,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
23,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,Not IEP,164,104,63%,District,,,,PSSA,Science,John Bartram High School,NEIGHBORHOOD NETWORK 1,All Grades,IEP,1,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
24,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,IEP,34,15,44%,District,,,,Keystone,Math,West Philadelphia High School,TURNAROUND NETWORK,11,IEP,18,9,50%,9,50%,0,0%,0,0%,0,0%,0.375,1.5
25,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,IEP,34,15,44%,District,,,,Keystone,Math,West Philadelphia High School,TURNAROUND NETWORK,11,Not IEP,49,10,20%,25,51%,13,27%,1,2%,14,29%,0.525510204,2.10204079
26,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,IEP,34,15,44%,District,,,,Keystone,Science,West Philadelphia High School,TURNAROUND NETWORK,11,IEP,18,13,72%,5,28%,0,0%,0,0%,0,0%,0.319444444,1.277777791
27,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,IEP,34,15,44%,District,,,,Keystone,Science,West Philadelphia High School,TURNAROUND NETWORK,11,Not IEP,47,17,36%,21,45%,9,19%,0,0%,9,19%,0.457446809,1.829787254
28,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,IEP,34,15,44%,District,,,,Keystone,Literature,West Philadelphia High School,TURNAROUND NETWORK,11,IEP,18,10,56%,6,33%,2,11%,0,0%,2,11%,0.388888889,1.555555604
29,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,IEP,34,15,44%,District,,,,Keystone,Literature,West Philadelphia High School,TURNAROUND NETWORK,11,Not IEP,47,8,17%,16,34%,23,49%,0,0%,23,49%,0.579787234,2.319148913
30,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,IEP,34,15,44%,District,,,,PSSA,Literature,West Philadelphia High School,TURNAROUND NETWORK,11,IEP,7,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
31,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,IEP,34,15,44%,District,,,,PSSA,Literature,West Philadelphia High School,TURNAROUND NETWORK,All Grades,IEP,7,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
32,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,IEP,34,15,44%,District,,,,PSSA,Math,West Philadelphia High School,TURNAROUND NETWORK,11,IEP,7,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
33,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,IEP,34,15,44%,District,,,,PSSA,Math,West Philadelphia High School,TURNAROUND NETWORK,All Grades,IEP,7,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
34,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,Not IEP,84,61,73%,District,,,,Keystone,Math,West Philadelphia High School,TURNAROUND NETWORK,11,IEP,18,9,50%,9,50%,0,0%,0,0%,0,0%,0.375,1.5
35,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,Not IEP,84,61,73%,District,,,,Keystone,Math,West Philadelphia High School,TURNAROUND NETWORK,11,Not IEP,49,10,20%,25,51%,13,27%,1,2%,14,29%,0.525510204,2.10204079
36,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,Not IEP,84,61,73%,District,,,,Keystone,Science,West Philadelphia High School,TURNAROUND NETWORK,11,IEP,18,13,72%,5,28%,0,0%,0,0%,0,0%,0.319444444,1.277777791
37,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,Not IEP,84,61,73%,District,,,,Keystone,Science,West Philadelphia High School,TURNAROUND NETWORK,11,Not IEP,47,17,36%,21,45%,9,19%,0,0%,9,19%,0.457446809,1.829787254
38,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,Not IEP,84,61,73%,District,,,,Keystone,Literature,West Philadelphia High School,TURNAROUND NETWORK,11,IEP,18,10,56%,6,33%,2,11%,0,0%,2,11%,0.388888889,1.555555604
39,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,Not IEP,84,61,73%,District,,,,Keystone,Literature,West Philadelphia High School,TURNAROUND NETWORK,11,Not IEP,47,8,17%,16,34%,23,49%,0,0%,23,49%,0.579787234,2.319148913
40,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,Not IEP,84,61,73%,District,,,,PSSA,Literature,West Philadelphia High School,TURNAROUND NETWORK,11,IEP,7,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
41,102,102,WEST PHILADELPHIA HIGH SCHOOL,2013-2014,Not IEP,84,61,73%,District,,,,PSSA,Literature,West Philadelphia High School,TURNAROUND NETWORK,All Grades,IEP,7,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
