Unnamed: 0,School_ID,School_Code,School Name_x,Cohort,Subgroup,Students,Grads,Rate,Governance_x,Unnamed: 8,Unnamed: 9,Unnamed: 10,Test Name,Subject,School Name_y,Learning Network,Grade,Category,"Number
Tested",Below Basic Count #,Below Basic Percent %,Basic Count #,Basic Percent %,Proficient Count #,Proficient Basic Percent %,Advanced Count #,Advanced Percent %,Prof and Adv Count #,Prof and Adv. Percent %,Average Score,Average Score2,School,School ID_old,School ID,Full Address,Enrollment,Rpt Type Long,Governance_y,Achievement_Score_Final,Progress_Score_Final,Climate_Score_Final,Overall_Score_Final,Latitude,Longitude,ASSAULTS,BOMB SCARE,BULLYING,BURGLARY,DISORDERLY CONDUCT,DRUG AND ALCOHOL OFFENSES,FIRE - INCENDIARY,GRAFFITI,HARASSMENT,MORALS OFFENSES,ROBBERY,SUICIDE,SUICIDE - ATTEMPTS AND THREATS,TAKE OFF,THEFT,THREAT,TRESPASSING,VANDALISM,WEAPONS,HARASSMENT_rate,ASSAULTS_rate,THREAT_rate,TAKE OFF_rate,DRUG AND ALCOHOL OFFENSES_rate,BURGLARY_rate,TRESPASSING_rate,BULLYING_rate,WEAPONS_rate,BOMB SCARE_rate,FIRE - INCENDIARY_rate,ROBBERY_rate,THEFT_rate,VANDALISM_rate,DISORDERLY CONDUCT_rate,SUICIDE_rate,MORALS OFFENSES_rate,GRAFFITI_rate,SUICIDE - ATTEMPTS AND THREATS_rate,SafetyIncidentRate,SafetyScore
0,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,Keystone,Algebra 1,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,31,23,74%,8,26%,0,0%,0,0%,0,0%,0.314516129,1.258064508,John Bartram High School,101,101,"2401 S 67th St, Philadelphia, PA 19142",601.0,High School,District,0.0,28.0,11.0,14,39.9214696666667,-75.23401775,71.0,0.0,2.0,0.0,85.0,30.0,8.0,0.0,3.0,10.0,10.0,0.0,0.0,0.0,21.0,16.0,4.0,38.0,29.0,0.12479201331114809,2.9534109816971714,0.6655574043261231,0.0,1.2479201331114809,0.0,0.16638935108153077,0.08319467554076539,1.2063227953410982,0.0,0.33277870216306155,0.415973377703827,0.8735440931780366,1.5806988352745424,3.535773710482529,0.0,0.415973377703827,0.0,0.0,5.657237936772046,67.0
1,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,Keystone,Algebra 1,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,Not IEP,63,30,48%,27,43%,6,10%,0,0%,6,10%,0.404761905,1.619047634,John Bartram High School,101,101,"2401 S 67th St, Philadelphia, PA 19142",601.0,High School,District,0.0,28.0,11.0,14,39.9214696666667,-75.23401775,71.0,0.0,2.0,0.0,85.0,30.0,8.0,0.0,3.0,10.0,10.0,0.0,0.0,0.0,21.0,16.0,4.0,38.0,29.0,0.12479201331114809,2.9534109816971714,0.6655574043261231,0.0,1.2479201331114809,0.0,0.16638935108153077,0.08319467554076539,1.2063227953410982,0.0,0.33277870216306155,0.415973377703827,0.8735440931780366,1.5806988352745424,3.535773710482529,0.0,0.415973377703827,0.0,0.0,5.657237936772046,67.0
2,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,Keystone,Biology,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,28,24,86%,4,14%,0,0%,0,0%,0,0%,0.285714286,1.142857164,John Bartram High School,101,101,"2401 S 67th St, Philadelphia, PA 19142",601.0,High School,District,0.0,28.0,11.0,14,39.9214696666667,-75.23401775,71.0,0.0,2.0,0.0,85.0,30.0,8.0,0.0,3.0,10.0,10.0,0.0,0.0,0.0,21.0,16.0,4.0,38.0,29.0,0.12479201331114809,2.9534109816971714,0.6655574043261231,0.0,1.2479201331114809,0.0,0.16638935108153077,0.08319467554076539,1.2063227953410982,0.0,0.33277870216306155,0.415973377703827,0.8735440931780366,1.5806988352745424,3.535773710482529,0.0,0.415973377703827,0.0,0.0,5.657237936772046,67.0
3,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,Keystone,Biology,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,Not IEP,61,40,66%,16,26%,5,8%,0,0%,5,8%,0.356557377,1.42622947,John Bartram High School,101,101,"2401 S 67th St, Philadelphia, PA 19142",601.0,High School,District,0.0,28.0,11.0,14,39.9214696666667,-75.23401775,71.0,0.0,2.0,0.0,85.0,30.0,8.0,0.0,3.0,10.0,10.0,0.0,0.0,0.0,21.0,16.0,4.0,38.0,29.0,0.12479201331114809,2.9534109816971714,0.6655574043261231,0.0,1.2479201331114809,0.0,0.16638935108153077,0.08319467554076539,1.2063227953410982,0.0,0.33277870216306155,0.415973377703827,0.8735440931780366,1.5806988352745424,3.535773710482529,0.0,0.415973377703827,0.0,0.0,5.657237936772046,67.0
4,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,Keystone,Literature,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,28,20,71%,8,29%,0,0%,0,0%,0,0%,0.321428571,1.285714328,John Bartram High School,101,101,"2401 S 67th St, Philadelphia, PA 19142",601.0,High School,District,0.0,28.0,11.0,14,39.9214696666667,-75.23401775,71.0,0.0,2.0,0.0,85.0,30.0,8.0,0.0,3.0,10.0,10.0,0.0,0.0,0.0,21.0,16.0,4.0,38.0,29.0,0.12479201331114809,2.9534109816971714,0.6655574043261231,0.0,1.2479201331114809,0.0,0.16638935108153077,0.08319467554076539,1.2063227953410982,0.0,0.33277870216306155,0.415973377703827,0.8735440931780366,1.5806988352745424,3.535773710482529,0.0,0.415973377703827,0.0,0.0,5.657237936772046,67.0
5,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,Keystone,Literature,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,Not IEP,58,13,22%,33,57%,12,21%,0,0%,12,21%,0.495689655,1.982758597,John Bartram High School,101,101,"2401 S 67th St, Philadelphia, PA 19142",601.0,High School,District,0.0,28.0,11.0,14,39.9214696666667,-75.23401775,71.0,0.0,2.0,0.0,85.0,30.0,8.0,0.0,3.0,10.0,10.0,0.0,0.0,0.0,21.0,16.0,4.0,38.0,29.0,0.12479201331114809,2.9534109816971714,0.6655574043261231,0.0,1.2479201331114809,0.0,0.16638935108153077,0.08319467554076539,1.2063227953410982,0.0,0.33277870216306155,0.415973377703827,0.8735440931780366,1.5806988352745424,3.535773710482529,0.0,0.415973377703827,0.0,0.0,5.657237936772046,67.0
6,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,PSSA,ELA,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,8,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!,John Bartram High School,101,101,"2401 S 67th St, Philadelphia, PA 19142",601.0,High School,District,0.0,28.0,11.0,14,39.9214696666667,-75.23401775,71.0,0.0,2.0,0.0,85.0,30.0,8.0,0.0,3.0,10.0,10.0,0.0,0.0,0.0,21.0,16.0,4.0,38.0,29.0,0.12479201331114809,2.9534109816971714,0.6655574043261231,0.0,1.2479201331114809,0.0,0.16638935108153077,0.08319467554076539,1.2063227953410982,0.0,0.33277870216306155,0.415973377703827,0.8735440931780366,1.5806988352745424,3.535773710482529,0.0,0.415973377703827,0.0,0.0,5.657237936772046,67.0
7,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,PSSA,ELA,John Bartram High School,NEIGHBORHOOD NETWORK 1,All Grades,IEP,8,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!,John Bartram High School,101,101,"2401 S 67th St, Philadelphia, PA 19142",601.0,High School,District,0.0,28.0,11.0,14,39.9214696666667,-75.23401775,71.0,0.0,2.0,0.0,85.0,30.0,8.0,0.0,3.0,10.0,10.0,0.0,0.0,0.0,21.0,16.0,4.0,38.0,29.0,0.12479201331114809,2.9534109816971714,0.6655574043261231,0.0,1.2479201331114809,0.0,0.16638935108153077,0.08319467554076539,1.2063227953410982,0.0,0.33277870216306155,0.415973377703827,0.8735440931780366,1.5806988352745424,3.535773710482529,0.0,0.415973377703827,0.0,0.0,5.657237936772046,67.0
8,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,PSSA,Math,John Bartram High School,NEIGHBORHOOD NETWORK 1,11,IEP,8,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!,John Bartram High School,101,101,"2401 S 67th St, Philadelphia, PA 19142",601.0,High School,District,0.0,28.0,11.0,14,39.9214696666667,-75.23401775,71.0,0.0,2.0,0.0,85.0,30.0,8.0,0.0,3.0,10.0,10.0,0.0,0.0,0.0,21.0,16.0,4.0,38.0,29.0,0.12479201331114809,2.9534109816971714,0.6655574043261231,0.0,1.2479201331114809,0.0,0.16638935108153077,0.08319467554076539,1.2063227953410982,0.0,0.33277870216306155,0.415973377703827,0.8735440931780366,1.5806988352745424,3.535773710482529,0.0,0.415973377703827,0.0,0.0,5.657237936772046,67.0
9,101,101,JOHN BARTRAM HIGH SCHOOL,2013-2014,IEP,53,22,42%,District,,,,PSSA,Math,John Bartram High School,NEIGHBORHOOD NETWORK 1,All Grades,IEP,8,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!,John Bartram High School,101,101,"2401 S 67th St, Philadelphia, PA 19142",601.0,High School,District,0.0,28.0,11.0,14,39.9214696666667,-75.23401775,71.0,0.0,2.0,0.0,85.0,30.0,8.0,0.0,3.0,10.0,10.0,0.0,0.0,0.0,21.0,16.0,4.0,38.0,29.0,0.12479201331114809,2.9534109816971714,0.6655574043261231,0.0,1.2479201331114809,0.0,0.16638935108153077,0.08319467554076539,1.2063227953410982,0.0,0.33277870216306155,0.415973377703827,0.8735440931780366,1.5806988352745424,3.535773710482529,0.0,0.415973377703827,0.0,0.0,5.657237936772046,67.0
