INCIDENT_COUNT|INCIDENT_TYPE|SCHOOL_ID|SCHOOL_YEAR|School|Rpt Type Long|Governance|Grades Served|Enrollment|Incident_rate
1|Harassment|526|2013-2014|Lewis Elkin School|Elementary School|District|'K-4'|866.0|0.11547344110854503
5|Assaults|534|2013-2014|James R. Ludlow School|K8 School|District|'K-8'|312.0|1.6025641025641026
8|Threat|535|2013-2014|William McKinley School|K8 School|District|'K-8'|460.0|1.7391304347826086
0|Take Off|537|2013-2014|John Moffet School|Elementary School|District|'K-5'|345.0|0.0
0|Burglary|548|2013-2014|General Philip Kearny School|K8 School|District|'K-8'|401.0|0.0
0|Bullying|552|2013-2014|Kensington High School for Creative and Performing Arts|High School|District|'9-12'|505.0|0.0
0|Weapons|553|2013-2014|Philip H. Sheridan School|Elementary School|District|'K-4'|730.0|0.0
1|Assaults|601|2013-2014|Central High School|High School|District|'9-12'|2315.0|0.04319654427645788
0|Bomb Scare|605|2013-2014|Philadelphia High School for Girls|High School|District|'9-12'|1013.0|0.0
0|Harassment|621|2013-2014|Franklin S. Edmonds School|Elementary School|District|'K-6'|516.0|0.0
0|Fire - Incendiary|625|2013-2014|Charles W. Henry School|K8 School|District|'K-8'|479.0|0.0
0|Robbery|630|2013-2014|James Logan School|Elementary School|District|'K-5'|326.0|0.0
1|Bullying|532|2013-2014|John F. Hartranft School|K8 School|District|'K-8'|520.0|0.19230769230769232
0|Bullying|110|2013-2014|William L. Sayre High School|High School|District|'9-12'|492.0|0.0
1|Theft|113|2013-2014|William T. Tilden School|Middle School|District|'5-8'|363.0|0.27548209366391185
1|Theft|123|2013-2014|William C. Bryant School|K8 School|District|'K-8'|403.0|0.24813895781637718
1|Trespassing|123|2013-2014|William C. Bryant School|K8 School|District|'K-8'|403.0|0.24813895781637718
0|Drug And Alcohol Offenses|136|2013-2014|Morton McMichael School|K8 School|District|'K-8'|400.0|0.0
2|Trespassing|142|2013-2014|Martha Washington School|K8 School|District|'K-8'|405.0|0.49382716049382713
0|Harassment|146|2013-2014|Add B. Anderson School|K8 School|District|'K-8'|470.0|0.0
3|Threat|147|2013-2014|Alain Locke School|K8 School|District|'K-8'|447.0|0.6711409395973155
1|Harassment|201|2013-2014|Benjamin Franklin High School|High School|District|'9-12'|547.0|0.18281535648994515
10|Vandalism|201|2013-2014|Benjamin Franklin High School|High School|District|'9-12'|547.0|1.8281535648994516
0|Threat|202|2013-2014|High School for Creative and Performing Arts School|High School|District|'9-12'|693.0|0.0
0|Bomb Scare|142|2013-2014|Martha Washington School|K8 School|District|'K-8'|405.0|0.0
0|Harassment|533|2013-2014|William H. Hunter School|K8 School|District|'K-8'|527.0|0.0
0|Robbery|534|2013-2014|James R. Ludlow School|K8 School|District|'K-8'|312.0|0.0
0|Trespassing|534|2013-2014|James R. Ludlow School|K8 School|District|'K-8'|312.0|0.0
6|Disorderly Conduct|543|2013-2014|Alternative Middle Years at James Martin |Middle School|District|'6-8'|419.0|1.431980906921241
2|Threat|543|2013-2014|Alternative Middle Years at James Martin |Middle School|District|'6-8'|419.0|0.477326968973747
0|Trespassing|553|2013-2014|Philip H. Sheridan School|Elementary School|District|'K-4'|730.0|0.0
0|Burglary|606|2013-2014|Martin Luther King High School|High School|District|'9-12'|888.0|0.0
0|Take Off|626|2013-2014|Henry H. Houston School|K8 School|District|'K-8'|387.0|0.0
1|Assaults|638|2013-2014|Shawmont School|K8 School|District|'K-8'|501.0|0.1996007984031936
0|Bomb Scare|144|2013-2014|Penrose School|K8 School|District|'K-8'|590.0|0.0
1|Robbery|146|2013-2014|Add B. Anderson School|K8 School|District|'K-8'|470.0|0.2127659574468085
0|Theft|146|2013-2014|Add B. Anderson School|K8 School|District|'K-8'|470.0|0.0
6|Fire - Incendiary|201|2013-2014|Benjamin Franklin High School|High School|District|'9-12'|547.0|1.0968921389396709
0|Fire - Incendiary|224|2013-2014|F. Amedee Bregy School|K8 School|District|'K-8'|347.0|0.0
13|Assaults|232|2013-2014|Stephen Girard School|Elementary School|District|'K-4'|605.0|2.1487603305785123
0|Trespassing|232|2013-2014|Stephen Girard School|Elementary School|District|'K-4'|605.0|0.0
2|Disorderly Conduct|234|2013-2014|General George A. McCall School|K8 School|District|'K-8'|716.0|0.27932960893854747
0|Take Off|237|2013-2014|Delaplaine McDaniel School|K8 School|District|'K-8'|603.0|0.0
0|Harassment|251|2013-2014|Andrew Jackson School|K8 School|District|'K-8'|566.0|0.0
3|Disorderly Conduct|252|2013-2014|Abram S. Jenks School|Elementary School|District|'K-5'|308.0|0.974025974025974
0|Suicide|258|2013-2014|Eliza B. Kirkbride School|K8 School|District|'K-8'|554.0|0.0
0|Fire - Incendiary|740|2013-2014|Olney School|K8 School|District|'K-8'|836.0|0.0
4|Disorderly Conduct|747|2013-2014|Bridesburg School|K8 School|District|'K-8'|794.0|0.5037783375314862
0|Drug And Alcohol Offenses|812|2013-2014|Woodrow Wilson School|Middle School|District|'6-8'|1299.0|0.0
0|Trespassing|825|2013-2014|Edwin Forrest School|Elementary School|District|'K-6'|1186.0|0.0
0|Bomb Scare|831|2013-2014|J. Hampton Moore School|Elementary School|District|'K-5'|1168.0|0.0
35|Disorderly Conduct|834|2013-2014|Solomon Solis-Cohen School|Elementary School|District|'K-5'|1221.0|2.8665028665028665
0|Drug And Alcohol Offenses|836|2013-2014|Rhawnhurst School|Elementary School|District|'K-5'|607.0|0.0
0|Take Off|840|2013-2014|Anne Frank School|Elementary School|District|'K-5'|1284.0|0.0
0|Trespassing|631|2013-2014|John F. McCloskey School|K8 School|District|'K-8'|521.0|0.0
2|Threat|272|2013-2014|Vare-Washington School|K8 School|District|'K-8'|363.0|0.5509641873278237
0|Assaults|732|2013-2014|Julia W. Howe School|Elementary School|District|'K-5'|244.0|0.0
0|Burglary|736|2013-2014|John Marshall School|Elementary School|District|'K-5'|425.0|0.0
1|Bullying|739|2013-2014|Andrew J. Morrison School|K8 School|District|'K-8'|723.0|0.13831258644536654
0|Fire - Incendiary|751|2013-2014|Mary M. Bethune School|K8 School|District|'K-8'|721.0|0.0
1|Theft|773|2013-2014|Roberto Clemente School|Middle School|District|'6-8'|491.0|0.20366598778004075
1|Harassment|801|2013-2014|Abraham Lincoln High School|High School|District|'9-12'|1527.0|0.06548788474132286
34|Assaults|803|2013-2014|George Washington High School|High School|District|'9-12'|1314.0|2.5875190258751903
0|Fire - Incendiary|804|2013-2014|Arts Academy at Benjamin Rush|High School|District|'9-12'|606.0|0.0
0|Suicide|804|2013-2014|Arts Academy at Benjamin Rush|High School|District|'9-12'|606.0|0.0
5|Morals Offenses|814|2013-2014|Austin Meehan School|Middle School|District|'7-8'|578.0|0.8650519031141869
0|Assaults|825|2013-2014|Edwin Forrest School|Elementary School|District|'K-6'|1186.0|0.0
0|Suicide|827|2013-2014|Thomas Holme School|Elementary School|District|'K-6'|570.0|0.0
1|Assaults|834|2013-2014|Solomon Solis-Cohen School|Elementary School|District|'K-5'|1221.0|0.0819000819000819
12|Disorderly Conduct|835|2013-2014|Gilbert Spruance School|K8 School|District|'K-8'|1504.0|0.7978723404255319
6|Assaults|839|2013-2014|A.L. Fitzpatrick School|K8 School|District|'K-8'|830.0|0.7228915662650602
1|Bomb Scare|843|2013-2014|Joseph Greenberg School|K8 School|District|'K-8'|753.0|0.13280212483399734
0|Fire - Incendiary|722|2013-2014|Laura H. Carnell School|Elementary School|District|'K-5'|973.0|0.0
23|Disorderly Conduct|101|2013-2014|John Bartram High School|High School|District|'9-12'|601.0|3.826955074875208
2|Disorderly Conduct|105|2013-2014|Paul Robeson High School for Human Services|High School|District|'9-12'|297.0|0.6734006734006734
1|Vandalism|123|2013-2014|William C. Bryant School|K8 School|District|'K-8'|403.0|0.24813895781637718
0|Weapons|130|2013-2014|Avery D. Harrington School|K8 School|District|'K-8'|493.0|0.0
0|Trespassing|135|2013-2014|William C. Longstreth School|K8 School|District|'K-8'|498.0|0.0
22|Disorderly Conduct|137|2013-2014|S. Weir Mitchell School|K8 School|District|'K-8'|561.0|3.9215686274509802
0|Assaults|139|2013-2014|Samuel Powel School|Elementary School|District|'K-4'|284.0|0.0
0|Bullying|139|2013-2014|Samuel Powel School|Elementary School|District|'K-4'|284.0|0.0
0|Threat|140|2013-2014|John M. Patterson School|Elementary School|District|'K-4'|643.0|0.0
1|Theft|644|2013-2014|Anna L. Lingelbach School|K8 School|District|'K-8'|459.0|0.2178649237472767
28|Assaults|711|2013-2014|Warren G. Harding School|Middle School|District|'6-8'|709.0|3.9492242595204514
0|Suicide|715|2013-2014|Juniata Park Academy|K8 School|District|'K-8'|1189.0|0.0
0|Burglary|727|2013-2014|Thomas K. Finletter School|K8 School|District|'K-8'|744.0|0.0
0|Burglary|728|2013-2014|Benjamin Franklin School|K8 School|District|'K-8'|984.0|0.0
1|Morals Offenses|731|2013-2014|Feltonville Intermediate School|Elementary School|District|'3-5'|772.0|0.12953367875647667
0|Suicide|735|2013-2014|James R. Lowell School|Elementary School|District|'K-4'|766.0|0.0
0|Vandalism|736|2013-2014|John Marshall School|Elementary School|District|'K-5'|425.0|0.0
0|Burglary|751|2013-2014|Mary M. Bethune School|K8 School|District|'K-8'|721.0|0.0
28|Disorderly Conduct|773|2013-2014|Roberto Clemente School|Middle School|District|'6-8'|491.0|5.7026476578411405
0|Bullying|801|2013-2014|Abraham Lincoln High School|High School|District|'9-12'|1527.0|0.0
15|Theft|801|2013-2014|Abraham Lincoln High School|High School|District|'9-12'|1527.0|0.9823182711198428
0|Trespassing|802|2013-2014|Northeast High School|High School|District|'9-12'|3386.0|0.0
1|Suicide|219|2013-2014|D. Newlin Fell School|K8 School|District|'K-8'|576.0|0.1736111111111111
0|Robbery|224|2013-2014|F. Amedee Bregy School|K8 School|District|'K-8'|347.0|0.0
1|Drug And Alcohol Offenses|241|2013-2014|Girard Academic Music Program|High School|District|'9-12'|239.0|0.41841004184100417
1|Drug And Alcohol Offenses|241|2013-2014|Girard Academic Music Program|Middle School|District|'5-8'|333.0|0.3003003003003003
0|Harassment|249|2013-2014|Laura W. Waring School|K8 School|District|'K-8'|321.0|0.0
2|Disorderly Conduct|265|2013-2014|Science Leadership Academy|High School|District|'9-12'|492.0|0.4065040650406504
1|Suicide|265|2013-2014|Science Leadership Academy|High School|District|'9-12'|492.0|0.2032520325203252
0|Bomb Scare|269|2013-2014|John H. Taggart School|K8 School|District|'K-8'|449.0|0.0
0|Take Off|263|2013-2014|George W. Sharswood School|K8 School|District|'K-8'|573.0|0.0
2|Threat|713|2013-2014|General Louis Wagner School|Middle School|District|'6-8'|521.0|0.3838771593090211
0|Trespassing|726|2013-2014|Ellwood School|Elementary School|District|'K-5'|315.0|0.0
0|Harassment|731|2013-2014|Feltonville Intermediate School|Elementary School|District|'3-5'|772.0|0.0
0|Bomb Scare|732|2013-2014|Julia W. Howe School|Elementary School|District|'K-5'|244.0|0.0
0|Bullying|733|2013-2014|Henry W. Lawton School|Elementary School|District|'K-5'|758.0|0.0
3|Assaults|744|2013-2014|Bayard Taylor School|Elementary School|District|'K-5'|560.0|0.5357142857142857
1|Weapons|749|2013-2014|Prince Hall School|Elementary School|District|'K-5'|574.0|0.17421602787456447
10|Assaults|750|2013-2014|Feltonville School of Arts and Sciences|Middle School|District|'6-8'|555.0|1.8018018018018018
6|Vandalism|803|2013-2014|George Washington High School|High School|District|'9-12'|1314.0|0.45662100456621
0|Vandalism|804|2013-2014|Arts Academy at Benjamin Rush|High School|District|'9-12'|606.0|0.0
5|Drug And Alcohol Offenses|809|2013-2014|Swenson Arts and Technology High School|High School|District|'9-12'|668.0|0.7485029940119761
0|Trespassing|809|2013-2014|Swenson Arts and Technology High School|High School|District|'9-12'|668.0|0.0
0|Morals Offenses|265|2013-2014|Science Leadership Academy|High School|District|'9-12'|492.0|0.0
0|Threat|269|2013-2014|John H. Taggart School|K8 School|District|'K-8'|449.0|0.0
0|Burglary|826|2013-2014|Fox Chase School|Elementary School|District|'K-5'|485.0|0.0
1|Threat|834|2013-2014|Solomon Solis-Cohen School|Elementary School|District|'K-5'|1221.0|0.0819000819000819
0|Burglary|839|2013-2014|A.L. Fitzpatrick School|K8 School|District|'K-8'|830.0|0.0
0|Assaults|840|2013-2014|Anne Frank School|Elementary School|District|'K-5'|1284.0|0.0
0|Drug And Alcohol Offenses|840|2013-2014|Anne Frank School|Elementary School|District|'K-5'|1284.0|0.0
0|Robbery|843|2013-2014|Joseph Greenberg School|K8 School|District|'K-8'|753.0|0.0
0|Trespassing|843|2013-2014|Joseph Greenberg School|K8 School|District|'K-8'|753.0|0.0
0|Robbery|856|2013-2014|The Workshop School|High School|District|'9-12'|230.0|0.0
1|Vandalism|402|2013-2014|Overbrook High School|High School|District|'9-12'|573.0|0.17452006980802792
6|Weapons|430|2013-2014|Edward Heston School|K8 School|District|'K-8'|529.0|1.1342155009451795
0|Robbery|432|2013-2014|Robert E. Lamberton School|K8 School|District|'K-8'|528.0|0.0
0|Theft|438|2013-2014|Thomas M. Peirce School|Elementary School|District|'K-6'|475.0|0.0
0|Robbery|446|2013-2014|Tanner G. Duckrey School|K8 School|District|'K-8'|635.0|0.0
9|Assaults|447|2013-2014|Richard R. Wright School|Elementary School|District|'K-5'|355.0|2.535211267605634
0|Theft|448|2013-2014|Overbrook Educational Center|K8 School|District|'K-8'|268.0|0.0
1|Fire - Incendiary|453|2013-2014|Edward Gideon School|K8 School|District|'K-8'|286.0|0.34965034965034963
4|Assaults|457|2013-2014|General George G. Meade School|K8 School|District|'K-8'|384.0|1.0416666666666667
7|Fire - Incendiary|502|2013-2014|Thomas A. Edison High School|High School|District|'9-12'|1053.0|0.6647673314339981
2|Harassment|502|2013-2014|Thomas A. Edison High School|High School|District|'9-12'|1053.0|0.1899335232668566
0|Take Off|214|2013-2014|Julia R. Masterman School|High School|District|'9-12'|442.0|0.0
0|Take Off|214|2013-2014|Julia R. Masterman School|Middle School|District|'5-8'|749.0|0.0
19|Disorderly Conduct|216|2013-2014|Furness High School|High School|District|'9-12'|692.0|2.745664739884393
0|Bullying|834|2013-2014|Solomon Solis-Cohen School|Elementary School|District|'K-5'|1221.0|0.0
10|Assaults|221|2013-2014|Bache-Martin School|K8 School|District|'K-8'|479.0|2.0876826722338206
0|Drug And Alcohol Offenses|234|2013-2014|General George A. McCall School|K8 School|District|'K-8'|716.0|0.0
0|Trespassing|234|2013-2014|General George A. McCall School|K8 School|District|'K-8'|716.0|0.0
0|Bomb Scare|237|2013-2014|Delaplaine McDaniel School|K8 School|District|'K-8'|603.0|0.0
1|Vandalism|239|2013-2014|Robert Morris School|K8 School|District|'K-8'|295.0|0.3389830508474576
0|Suicide|254|2013-2014|Francis S. Key School|Elementary School|District|'K-6'|467.0|0.0
0|Suicide|263|2013-2014|George W. Sharswood School|K8 School|District|'K-8'|573.0|0.0
0|Take Off|264|2013-2014|Southwark School|K8 School|District|'K-8'|741.0|0.0
0|Vandalism|265|2013-2014|Science Leadership Academy|High School|District|'9-12'|492.0|0.0
1|Threat|267|2013-2014|Constitution High School|High School|District|'9-12'|372.0|0.26881720430107525
0|Suicide|837|2013-2014|Watson Comly School|Elementary School|District|'K-5'|491.0|0.0
1|Harassment|839|2013-2014|A.L. Fitzpatrick School|K8 School|District|'K-8'|830.0|0.12048192771084337
0|Weapons|840|2013-2014|Anne Frank School|Elementary School|District|'K-5'|1284.0|0.0
0|Morals Offenses|843|2013-2014|Joseph Greenberg School|K8 School|District|'K-8'|753.0|0.0
0|Morals Offenses|402|2013-2014|Overbrook High School|High School|District|'9-12'|573.0|0.0
5|Vandalism|113|2013-2014|William T. Tilden School|Middle School|District|'5-8'|363.0|1.3774104683195592
0|Robbery|128|2013-2014|Sadie Alexander School|K8 School|District|'K-8'|569.0|0.0
0|Theft|129|2013-2014|Andrew Hamilton School|K8 School|District|'K-8'|587.0|0.0
0|Robbery|139|2013-2014|Samuel Powel School|Elementary School|District|'K-4'|284.0|0.0
0|Morals Offenses|142|2013-2014|Martha Washington School|K8 School|District|'K-8'|405.0|0.0
9|Assaults|144|2013-2014|Penrose School|K8 School|District|'K-8'|590.0|1.5254237288135593
2|Weapons|403|2013-2014|High School of Engineering and Science|High School|District|'9-12'|776.0|0.25773195876288657
2|Weapons|403|2013-2014|High School of Engineering and Science|Middle School|District|'7-8'|125.0|1.6
0|Burglary|406|2013-2014|Murrell Dobbins Career and Technical High School|High School|District|'9-12'|610.0|0.0
0|Fire - Incendiary|414|2013-2014|Strawberry Mansion High School|High School|District|'9-12'|312.0|0.0
0|Morals Offenses|427|2013-2014|William Dick School|K8 School|District|'K-8'|554.0|0.0
12|Disorderly Conduct|428|2013-2014|Samuel Gompers School|K8 School|District|'K-7'|348.0|3.4482758620689653
2|Theft|430|2013-2014|Edward Heston School|K8 School|District|'K-8'|529.0|0.3780718336483932
0|Fire - Incendiary|432|2013-2014|Robert E. Lamberton School|K8 School|District|'K-8'|528.0|0.0
22|Vandalism|435|2013-2014|E. Washington Rhodes School|K8 School|District|'K-8'|580.0|3.793103448275862
8|Assaults|444|2013-2014|Dr. Ethel Allen School|K8 School|District|'K-8'|520.0|1.5384615384615385
7|Theft|444|2013-2014|Dr. Ethel Allen School|K8 School|District|'K-8'|520.0|1.3461538461538463
0|Burglary|446|2013-2014|Tanner G. Duckrey School|K8 School|District|'K-8'|635.0|0.0
0|Suicide|448|2013-2014|Overbrook Educational Center|K8 School|District|'K-8'|268.0|0.0
10|Assaults|432|2013-2014|Robert E. Lamberton School|K8 School|District|'K-8'|528.0|1.893939393939394
0|Trespassing|444|2013-2014|Dr. Ethel Allen School|K8 School|District|'K-8'|520.0|0.0
1|Fire - Incendiary|446|2013-2014|Tanner G. Duckrey School|K8 School|District|'K-8'|635.0|0.15748031496062992
0|Take Off|446|2013-2014|Tanner G. Duckrey School|K8 School|District|'K-8'|635.0|0.0
2|Weapons|446|2013-2014|Tanner G. Duckrey School|K8 School|District|'K-8'|635.0|0.31496062992125984
0|Suicide|453|2013-2014|Edward Gideon School|K8 School|District|'K-8'|286.0|0.0
2|Morals Offenses|457|2013-2014|General George G. Meade School|K8 School|District|'K-8'|384.0|0.5208333333333334
1|Bomb Scare|502|2013-2014|Thomas A. Edison High School|High School|District|'9-12'|1053.0|0.0949667616334283
4|Threat|507|2013-2014|Parkway Northwest High School|High School|District|'9-12'|246.0|1.6260162601626016
0|Fire - Incendiary|508|2013-2014|Parkway Center City High School|High School|District|'9-12'|558.0|0.0
0|Trespassing|523|2013-2014|Russell H. Conwell School|Middle School|District|'5-8'|413.0|0.0
0|Trespassing|539|2013-2014|Potter-Thomas School|K8 School|District|'K-8'|572.0|0.0
0|Bomb Scare|515|2013-2014|William W. Bodine High School|High School|District|'9-12'|513.0|0.0
0|Trespassing|515|2013-2014|William W. Bodine High School|High School|District|'9-12'|513.0|0.0
3|Weapons|525|2013-2014|Paul L. Dunbar School|K8 School|District|'K-8'|302.0|0.9933774834437086
22|Disorderly Conduct|526|2013-2014|Lewis Elkin School|Elementary School|District|'K-4'|866.0|2.540415704387991
0|Robbery|526|2013-2014|Lewis Elkin School|Elementary School|District|'K-4'|866.0|0.0
0|Bullying|534|2013-2014|James R. Ludlow School|K8 School|District|'K-8'|312.0|0.0
0|Robbery|541|2013-2014|Isaac A. Sheppard School|Elementary School|District|'K-4'|187.0|0.0
0|Fire - Incendiary|543|2013-2014|Alternative Middle Years at James Martin |Middle School|District|'6-8'|419.0|0.0
2|Vandalism|548|2013-2014|General Philip Kearny School|K8 School|District|'K-8'|401.0|0.49875311720698257
1|Threat|550|2013-2014|Thurgood Marshall School|K8 School|District|'K-8'|797.0|0.12547051442910917
0|Robbery|568|2013-2014|Honorable Luis Munoz-Marin School|K8 School|District|'K-8'|641.0|0.0
2|Burglary|601|2013-2014|Central High School|High School|District|'9-12'|2315.0|0.08639308855291576
0|Bullying|605|2013-2014|Philadelphia High School for Girls|High School|District|'9-12'|1013.0|0.0
0|Fire - Incendiary|621|2013-2014|Franklin S. Edmonds School|Elementary School|District|'K-6'|516.0|0.0
0|Burglary|432|2013-2014|Robert E. Lamberton School|K8 School|District|'K-8'|528.0|0.0
0|Burglary|502|2013-2014|Thomas A. Edison High School|High School|District|'9-12'|1053.0|0.0
0|Drug And Alcohol Offenses|126|2013-2014|Benjamin B. Comegys School|K8 School|District|'K-8'|516.0|0.0
0|Threat|126|2013-2014|Benjamin B. Comegys School|K8 School|District|'K-8'|516.0|0.0
0|Harassment|129|2013-2014|Andrew Hamilton School|K8 School|District|'K-8'|587.0|0.0
0|Fire - Incendiary|130|2013-2014|Avery D. Harrington School|K8 School|District|'K-8'|493.0|0.0
0|Burglary|136|2013-2014|Morton McMichael School|K8 School|District|'K-8'|400.0|0.0
17|Disorderly Conduct|138|2013-2014|Thomas G. Morton School|Elementary School|District|'K-5'|633.0|2.6856240126382307
0|Take Off|424|2013-2014|Lewis C. Cassidy Academics Plus School|K8 School|District|'K-7'|477.0|0.0
17|Assaults|435|2013-2014|E. Washington Rhodes School|K8 School|District|'K-8'|580.0|2.9310344827586206
5|Theft|435|2013-2014|E. Washington Rhodes School|K8 School|District|'K-8'|580.0|0.8620689655172413
3|Weapons|435|2013-2014|E. Washington Rhodes School|K8 School|District|'K-8'|580.0|0.5172413793103449
0|Harassment|446|2013-2014|Tanner G. Duckrey School|K8 School|District|'K-8'|635.0|0.0
2|Disorderly Conduct|505|2013-2014|Philadelphia Military Academy|High School|District|'9-12'|247.0|0.8097165991902834
0|Bullying|507|2013-2014|Parkway Northwest High School|High School|District|'9-12'|246.0|0.0
0|Trespassing|508|2013-2014|Parkway Center City High School|High School|District|'9-12'|558.0|0.0
0|Take Off|516|2013-2014|Penn Treaty High School|High School|District|'9-12'|346.0|0.0
0|Take Off|516|2013-2014|Penn Treaty High School|Middle School|District|'6-8'|216.0|0.0
0|Burglary|525|2013-2014|Paul L. Dunbar School|K8 School|District|'K-8'|302.0|0.0
0|Fire - Incendiary|525|2013-2014|Paul L. Dunbar School|K8 School|District|'K-8'|302.0|0.0
0|Robbery|525|2013-2014|Paul L. Dunbar School|K8 School|District|'K-8'|302.0|0.0
0|Fire - Incendiary|219|2013-2014|D. Newlin Fell School|K8 School|District|'K-8'|576.0|0.0
0|Harassment|219|2013-2014|D. Newlin Fell School|K8 School|District|'K-8'|576.0|0.0
0|Burglary|224|2013-2014|F. Amedee Bregy School|K8 School|District|'K-8'|347.0|0.0
0|Robbery|232|2013-2014|Stephen Girard School|Elementary School|District|'K-4'|605.0|0.0
0|Robbery|237|2013-2014|Delaplaine McDaniel School|K8 School|District|'K-8'|603.0|0.0
0|Fire - Incendiary|247|2013-2014|Albert M. Greenfield School|K8 School|District|'K-8'|622.0|0.0
0|Fire - Incendiary|249|2013-2014|Laura W. Waring School|K8 School|District|'K-8'|321.0|0.0
0|Take Off|252|2013-2014|Abram S. Jenks School|Elementary School|District|'K-5'|308.0|0.0
0|Drug And Alcohol Offenses|259|2013-2014|George W. Nebinger School|K8 School|District|'K-8'|365.0|0.0
0|Morals Offenses|601|2013-2014|Central High School|High School|District|'9-12'|2315.0|0.0
2|Weapons|601|2013-2014|Central High School|High School|District|'9-12'|2315.0|0.08639308855291576
0|Harassment|609|2013-2014|A. Philip Randolph Career and Technical High School|High School|District|'9-12'|518.0|0.0
0|Assaults|623|2013-2014|Fitler Academics Plus School|K8 School|District|'K-8'|250.0|0.0
1|Assaults|630|2013-2014|James Logan School|Elementary School|District|'K-5'|326.0|0.3067484662576687
0|Morals Offenses|634|2013-2014|Joseph Pennell School|Elementary School|District|'K-5'|407.0|0.0
0|Take Off|634|2013-2014|Joseph Pennell School|Elementary School|District|'K-5'|407.0|0.0
0|Robbery|636|2013-2014|Theodore Roosevelt School|K8 School|District|'K-8'|581.0|0.0
5|Threat|647|2013-2014|John B. Kelly School|Elementary School|District|'K-5'|666.0|0.7507507507507507
24|Assaults|701|2013-2014|Frankford High School|High School|District|'9-12'|1088.0|2.2058823529411766
1|Drug And Alcohol Offenses|710|2013-2014|Jay Cooke School|K8 School|District|'K-8'|472.0|0.211864406779661
10|Weapons|712|2013-2014|Samuel Fels High School|High School|District|'9-12'|988.0|1.0121457489878543
0|Burglary|713|2013-2014|General Louis Wagner School|Middle School|District|'6-8'|521.0|0.0
3|Threat|726|2013-2014|Ellwood School|Elementary School|District|'K-5'|315.0|0.9523809523809523
0|Harassment|728|2013-2014|Benjamin Franklin School|K8 School|District|'K-8'|984.0|0.0
0|Robbery|508|2013-2014|Parkway Center City High School|High School|District|'9-12'|558.0|0.0
0|Vandalism|515|2013-2014|William W. Bodine High School|High School|District|'9-12'|513.0|0.0
0|Bullying|517|2013-2014|Julia de Burgos School|K8 School|District|'K-8'|865.0|0.0
7|Assaults|521|2013-2014|Henry A. Brown School|K8 School|District|'K-8'|524.0|1.3358778625954197
0|Bomb Scare|533|2013-2014|William H. Hunter School|K8 School|District|'K-8'|527.0|0.0
0|Harassment|541|2013-2014|Isaac A. Sheppard School|Elementary School|District|'K-4'|187.0|0.0
0|Bomb Scare|543|2013-2014|Alternative Middle Years at James Martin |Middle School|District|'6-8'|419.0|0.0
0|Trespassing|552|2013-2014|Kensington High School for Creative and Performing Arts|High School|District|'9-12'|505.0|0.0
0|Burglary|603|2013-2014|Roxborough High School|High School|District|'9-12'|624.0|0.0
6|Threat|101|2013-2014|John Bartram High School|High School|District|'9-12'|601.0|0.9983361064891847
2|Weapons|103|2013-2014|High School of the Future|High School|District|'9-12'|476.0|0.42016806722689076
4|Disorderly Conduct|119|2013-2014|Motivation High School|High School|District|'9-12'|387.0|1.0335917312661498
0|Robbery|119|2013-2014|Motivation High School|High School|District|'9-12'|387.0|0.0
1|Theft|120|2013-2014|John Barry School|K8 School|District|'K-8'|694.0|0.1440922190201729
3|Threat|134|2013-2014|Henry C. Lea School|K8 School|District|'K-8'|526.0|0.5703422053231939
0|Fire - Incendiary|140|2013-2014|John M. Patterson School|Elementary School|District|'K-4'|643.0|0.0
0|Suicide|200|2013-2014|South Philadelphia High School|High School|District|'9-12'|611.0|0.0
10|Theft|200|2013-2014|South Philadelphia High School|High School|District|'9-12'|611.0|1.6366612111292962
0|Suicide|626|2013-2014|Henry H. Houston School|K8 School|District|'K-8'|387.0|0.0
0|Theft|634|2013-2014|Joseph Pennell School|Elementary School|District|'K-5'|407.0|0.0
24|Assaults|636|2013-2014|Theodore Roosevelt School|K8 School|District|'K-8'|581.0|4.130808950086059
0|Suicide|638|2013-2014|Shawmont School|K8 School|District|'K-8'|501.0|0.0
1|Morals Offenses|645|2013-2014|James Dobson School|K8 School|District|'K-8'|289.0|0.3460207612456747
0|Harassment|647|2013-2014|John B. Kelly School|Elementary School|District|'K-5'|666.0|0.0
0|Suicide|710|2013-2014|Jay Cooke School|K8 School|District|'K-8'|472.0|0.0
0|Fire - Incendiary|711|2013-2014|Warren G. Harding School|Middle School|District|'6-8'|709.0|0.0
0|Fire - Incendiary|728|2013-2014|Benjamin Franklin School|K8 School|District|'K-8'|984.0|0.0
0|Trespassing|729|2013-2014|Allen M. Stearne School|K8 School|District|'K-8'|563.0|0.0
6|Disorderly Conduct|733|2013-2014|Henry W. Lawton School|Elementary School|District|'K-5'|758.0|0.7915567282321899
0|Robbery|735|2013-2014|James R. Lowell School|Elementary School|District|'K-4'|766.0|0.0
3|Assaults|736|2013-2014|John Marshall School|Elementary School|District|'K-5'|425.0|0.7058823529411765
1|Weapons|739|2013-2014|Andrew J. Morrison School|K8 School|District|'K-8'|723.0|0.13831258644536654
0|Robbery|740|2013-2014|Olney School|K8 School|District|'K-8'|836.0|0.0
6|Threat|740|2013-2014|Olney School|K8 School|District|'K-8'|836.0|0.7177033492822966
0|Theft|751|2013-2014|Mary M. Bethune School|K8 School|District|'K-8'|721.0|0.0
